benzene,ethanol
benzene,ethylbenzene
benzene,ethene
benzene,methanol
benzene,methylcyclohexane
benzene,methylcyclopentane
benzene,naphthalene
benzene,"2,2-dimethylpropane"
benzene,"1,2-xylene"
benzene,pentan-2-ol
benzene,phenanthrene
benzene,propan-1-ol
benzene,propan-2-ol
benzene,toluene
benzene,water
butan-1-ol,butan-2-ol
butan-1-ol,ethoxyethane
cycloheptane,cyclooctane
cyclohexane,cycloheptane
cyclohexane,cyclooctane
cyclohexane,ethanol
cyclohexane,methylcyclohexane
cyclohexane,methylcyclopentane
cyclohexane,"2,2-dimethylpropane"
cyclohexane,water
cyclopentane,cycloheptane
cyclopentane,cyclohexane
cyclopentane,cyclooctane
cyclopentane,methylcyclohexane
cyclopentane,methylcyclopentane
dichlorodifluoromethane,"1,1-difluoroethane"
dichloromethane,"1-chloro-1,1,2,2,2-pentafluoroethane"
ethoxyethane,benzene
ethoxyethane,trichloromethane
ethoxyethane,water
ethane,propan-2-one
ethane,acetylene
ethane,benzene
ethane,cyclohexane
ethane,ethene
ethane,butane
ethane,decane
ethane,heptane
ethane,hexane
ethane,propane
ethane,prop-1-ene
ethane,water
ethanol,water
ethylbenzene,ethanol
ethene,"1,1,1,3-tetrachloropropane"
ethene,"1,1,1,5-tetrachloropentane"
ethene,"1,1,1,7-tetrachloroheptane"
ethene,"1,1,1,9-tetrachlorononane"
ethene,acetylene
ethene,trichloromethane
ethene,ethanol
ethene,chloroethene
ethene,prop-1-ene
hexafluorobenzene,benzene
hexafluorobenzene,tetrachloromethane
hexafluorobenzene,cycloheptane
hexafluorobenzene,cyclohexane
hexafluorobenzene,cyclopentane
hexafluorobenzene,"1,3,5-trimethylbenzene"
hexafluorobenzene,methylcyclohexane
hexafluorobenzene,decane
hexafluorobenzene,dodecane
hexafluorobenzene,heptane
hexafluorobenzene,hexane
hexafluorobenzene,nonane
hexafluorobenzene,octane
hexafluorobenzene,pentane
hexafluorobenzene,tetradecafluorohexane
hexafluorobenzene,"1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene"
hexafluorobenzene,(trifluoromethyl)cyclohexane
hexafluorobenzene,"1,4-xylene"
hexafluorobenzene,toluene
methane,2-methylbutane
methane,2-methylpropane
methane,cyclohexane
methane,ethane
methane,ethene
methane,methylcyclohexane
methane,butane
methane,decane
methane,"2,2-dimethylpropane"
methane,heptane
methane,hexane
methane,nonane
methane,octane
methane,pentane
methane,propane
methanol,butan-1-ol
methanol,water
methylcyclopentane,methylcyclohexane
chloro(fluoro)methane,"1,1-dichloro-1,2,2,2-tetrafluoroethane"
"2-chloro-1,1,1,2-tetrafluoroethane",octafluorocyclobutane
chlorotrifluoromethane,trifluoromethane
naphthalene,cyclohexane
naphthalene,ethene
butane,propan-2-one
butane,decane
butane,heptane
butane,hexane
butane,octane
butane,pentane
butane,water
decane,acetic acid
decane,propan-2-one
decane,benzene
decane,cyclohexane
decane,dodecane
decane,pyridine
dodecane,acetic acid
dodecane,pyridine
heptane,propan-2-one
heptane,benzene
heptane,butan-1-ol
heptane,cyclohexane
heptane,cyclopentane
heptane,ethylbenzene
heptane,ethene
heptane,octane
heptane,water
hexadecane,benzene
hexane,"2,2-dimethylbutane"
hexane,"2,3-dimethylbutane"
hexane,3-methylpentane
hexane,acetic acid
hexane,propan-2-one
hexane,acetylene
hexane,benzene
hexane,butan-1-ol
hexane,trichloromethane
hexane,cyclohexane
hexane,cyclopentane
hexane,diethylamine
hexane,ethylbenzene
hexane,methylcyclopentane
hexane,decane
hexane,"2,2-dimethylpropane"
hexane,heptane
hexane,octane
hexane,tetradecafluorohexane
hexane,tetradecane
hexane,tridecane
hexane,propan-1-ol
hexane,propan-2-ol
hexane,toluene
nonane,benzene
nonane,cyclohexane
nonane,cyclopentane
nonane,tridecane
octane,2-methylheptane
octane,acetic acid
octane,propan-2-one
octane,benzene
octane,butan-1-ol
octane,butan-2-ol
octane,cyclohexane
octane,cyclopentane
octane,ethylbenzene
octane,pentan-2-ol
octane,propan-1-ol
octane,propan-2-ol
octane,pyridine
pentane,propan-2-one
pentane,benzene
pentane,butan-1-ol
pentane,cyclohexane
pentane,cyclopentane
pentane,ethanol
pentane,ethylbenzene
pentane,decane
pentane,dodecane
pentane,"2,2-dimethylpropane"
pentane,heptane
pentane,hexane
pentane,nonane
pentane,octane
pentane,tridecane
pentane,undecane
pentane,propan-2-ol
pentane,toluene
pentane,water
hexadecafluoroheptane,ethane
hexadecafluoroheptane,butane
hexadecafluoroheptane,heptane
hexadecafluoroheptane,hexane
hexadecafluoroheptane,nonane
hexadecafluoroheptane,octane
hexadecafluoroheptane,pentane
hexadecafluoroheptane,propane
tridecane,propan-2-one
tridecane,benzene
tridecane,cyclohexane
"1,2-xylene",ethylbenzene
dodecafluorocyclohexane,cycloheptane
dodecafluorocyclohexane,cyclohexane
dodecafluorocyclohexane,cyclooctane
dodecafluorocyclohexane,cyclopentane
tetrafluoromethane,trifluoromethane
(trifluoromethyl)cyclohexane,"2,2-dimethylbutane"
(trifluoromethyl)cyclohexane,"2,3-dimethylbutane"
(trifluoromethyl)cyclohexane,2-methylpentane
(trifluoromethyl)cyclohexane,3-methylpentane
(trifluoromethyl)cyclohexane,methylcyclohexane
(trifluoromethyl)cyclohexane,hexane
propan-2-ol,water
propane,"2,2-dimethylbutane"
propane,"2,3-dimethylbutane"
propane,2-methylbutane
propane,2-methylpentane
propane,3-methylpentane
propane,propan-2-one
propane,acetylene
propane,benzene
propane,hexafluorobenzene
propane,butane
propane,decane
propane,heptane
propane,hexane
propane,octane
propane,pentane
propane,tetradecafluorohexane
propane,hexafluoropropan-2-one
propane,trifluoroacetonitrile
propane,octafluoropropane
prop-1-ene,acetylene
prop-1-ene,but-1-ene
toluene,cyclohexane
toluene,ethanol
toluene,ethylbenzene
toluene,"2,2-dimethylpropane"
toluene,"1,2-xylene"
toluene,water
