"ID","Name","Smiles","assay_type","standard_relation","standard_type","Standard value","Standard units","Function","description","pref_name","target_type","organism","Reference"
"CHEMBL493130","trans-[2-(4-Fluorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccc(F)cc2","F","=","EC50",508000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL490064","trans-[2-(3-Trifluoromethylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2cccc(c2)C(F)(F)F","F","=","EC50",1485000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL506727","trans-[2-(3-Bromophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2cccc(Br)c2","F","=","EC50",1680000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL492926","trans-[2-(3-Fluorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2cccc(F)c2","F","=","EC50",437000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL493128","trans-[2-(3-Chlorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2cccc(Cl)c2","F","=","EC50",1886000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL469729","trans-[2-(4-Chlorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccc(Cl)cc2","F","=","EC50",4482000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL500093","trans-(2-Phenylcyclopropyl)methylamineHydrochloride","Cl.NCC1CC1c2ccccc2","F","=","EC50",1399000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL450599","trans-[2-(2-Methylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.Cc1ccccc1[C@H]2C[C@@H]2CN","F","=","EC50",1606000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL451368","trans-[2-(2-Methoxyphenyl)cyclopropyl]methylamine Hydrochloride","Cl.COc1ccccc1[C@H]2C[C@@H]2CN","F","=","EC50",2166000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL501117","trans-[2-(2-Hydroxyphenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccccc2O","F","=","EC50",513000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL445747","trans-[2-(3-Methylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.Cc1cccc(c1)[C@H]2C[C@@H]2CN","F","=","EC50",585000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL493129","trans-[2-(3-Methoxyphenyl)cyclopropyl]methylamine Hydrochloride","Cl.COc1cccc(c1)[C@H]2C[C@@H]2CN","F","=","EC50",613000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL510383","trans-[2-(3-Hydroxyphenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2cccc(O)c2","F","=","EC50",247000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL471802","trans-[2-(2,4-Difluorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccc(F)cc2F","F","=","EC50",547000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL492306","trans-[2-(3,4-Difluorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccc(F)c(F)c2","F","=","EC50",578000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL501526","trans-[2-(4-Chloro-2-fluorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccc(Cl)cc2F","F","=","EC50",774000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL451232","trans-[2-(2-Chloro-4-fluorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccc(F)cc2Cl","F","=","EC50",91000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL464475","trans-[2-(2,3-Dichlorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2cccc(Cl)c2Cl","F","=","EC50",349000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL452458","trans-[2-(2,4-Dichlorophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccc(Cl)cc2Cl","F","=","EC50",51000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL360328","(1R)-8-chloro-2,3,4,5-tetrahydro-1-methyl-1H-3-benzazepine","C[C@H]1CNCCc2ccc(Cl)cc12","F","=","EC50",616000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL467736","(+)-(S,S)-trans-[2-(2-Bromophenyl)cyclopropyl]methylamine Hydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccccc2Br","F","=","EC50",67000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL471202","trans-[2-(4-Methylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.Cc1ccc(cc1)[C@H]2C[C@@H]2CN","F","=","EC50",1929000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL474633","trans-[2-(4-Fluoro-3-methylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.Cc1cc(ccc1F)[C@H]2C[C@@H]2CN","F","=","EC50",235000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL474634","trans-[2-(2-Chloro-6-methylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.Cc1cccc(Cl)c1[C@H]2C[C@@H]2CN","F","=","EC50",726000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL475641","trans-[2-(2-Bromo-4-methylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.Cc1ccc([C@H]2C[C@@H]2CN)c(Br)c1","F","=","EC50",465000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL475642","trans-[2-(2,3-Dimethylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.Cc1cccc([C@H]2C[C@@H]2CN)c1C","F","=","EC50",360000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL475643","trans-[2-(3,4-Dimethylphenyl)cyclopropyl]methylamine Hydrochloride","Cl.Cc1ccc(cc1C)[C@H]2C[C@@H]2CN","F","=","EC50",2392000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL508680","trans-[2-(6-Chloro-2-fluoro-3-methylphenyl)cyclopropyl]methylamineHydrochloride","Cl.Cc1ccc(Cl)c([C@H]2C[C@@H]2CN)c1F","F","=","EC50",330000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL452719","(+)-trans-(S,S)-(2-Phenylcyclopropyl)methylamineHydrochloride","Cl.NC[C@H]1C[C@@H]1c2ccccc2","F","=","EC50",1396000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL492301","7-(4-(2-chlorophenoxy)piperidin-1-ylsulfonyl)-2,3,4,5-tetrahydro-1H-benzo[d]azepine","Clc1ccccc1OC2CCN(CC2)S(=O)(=O)c3ccc4CCNCCc4c3","F","=","EC50",32000.000000000000000000000000000000,"M","Agonist","Agonist activity at human 5HT2A receptor expressed in mouse Swiss 3T3 cells by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL570937","2-(2-(2-chlorophenoxy)ethyl)-6-(piperazin-1-yl)pyridazin-3(2H)-one","Clc1ccccc1OCCN2N=C(C=CC2=O)N3CCNCC3","F","=","EC50",254000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL570023","(R)-2-(2-(2-chlorophenoxy)ethyl)-6-(2-methylpiperazin-1-yl)pyridazin-3(2H)-one","C[C@@H]1CNCCN1C2=NN(CCOc3ccccc3Cl)C(=O)C=C2","F","=","EC50",114000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL572252","(S)-2-(1-(2-chlorophenoxy)propan-2-yl)-6-(piperazin-1-yl)pyridazin-3(2H)-one","C[C@@H](COc1ccccc1Cl)N2N=C(C=CC2=O)N3CCNCC3","F","=","EC50",65000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL569342","6-(piperazin-1-yl)-2-(2-(2-(trifluoromethyl)phenoxy)ethyl)pyridazin-3(2H)-one","FC(F)(F)c1ccccc1OCCN2N=C(C=CC2=O)N3CCNCC3","F","=","EC50",1090000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL570274","(R)-6-(2-methylpiperazin-1-yl)-2-(2-(2-(trifluoromethyl)phenoxy)ethyl)pyridazin-3(2H)-one","C[C@@H]1CNCCN1C2=NN(CCOc3ccccc3C(F)(F)F)C(=O)C=C2","F","=","EC50",41000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL478","Meta-chlorophenyl piperidine","Clc1cccc(c1)N2CCNCC2","F","=","EC50",167000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL572228","2-(2-chlorophenethoxy)-6-(piperazin-1-yl)pyrazine","Clc1ccccc1CCOc2cncc(n2)N3CCNCC3","F","=","EC50",308000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL594717","(S)-7-(5-fluoro-2-methylbenzyloxy)-2-((R)-2-methylpiperazin-1-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine","C[C@@H]1CNCCN1c2ccc3CC[C@H](OCc4cc(F)ccc4C)c3n2","F","=","EC50",630000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL593547","2-(piperazin-1-yl)-5,6,7,8-tetrahydroquinoline","C1CCc2nc(ccc2C1)N3CCNCC3","F","=","EC50",2202000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL595194","(S)-8-(2-chlorophenoxy)-2-(piperazin-1-yl)-5,6,7,8-tetrahydroquinoline","Clc1ccccc1O[C@H]2CCCc3ccc(nc23)N4CCNCC4","F","=","EC50",70000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL593545","(R)-8-(2-chlorophenoxy)-2-(piperazin-1-yl)-5,6,7,8-tetrahydroquinoline","Clc1ccccc1O[C@@H]2CCCc3ccc(nc23)N4CCNCC4","F","=","EC50",578000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL595195","7-(2-chlorophenoxy)-2-(piperazin-1-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine","Clc1ccccc1OC2CCc3ccc(nc23)N4CCNCC4","F","=","EC50",236000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL609306","(S)-7-(2-chlorophenoxy)-2-(piperazin-1-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine","Clc1ccccc1O[C@H]2CCc3ccc(nc23)N4CCNCC4","F","=","EC50",87000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL595553","(R)-7-(2-chlorophenoxy)-2-(piperazin-1-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine","Clc1ccccc1O[C@@H]2CCc3ccc(nc23)N4CCNCC4","F","=","EC50",1311000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL594469","(S)-7-(2,5-difluorobenzyloxy)-2-(piperazin-1-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine","Fc1ccc(F)c(CO[C@H]2CCc3ccc(nc23)N4CCNCC4)c1","F","=","EC50",1500000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL595645","(S)-7-(2,5-difluorobenzyloxy)-2-((R)-2-methylpiperazin-1-yl)-6,7-dihydro-5H-cyclopenta[b]pyridine","C[C@@H]1CNCCN1c2ccc3CC[C@H](OCc4cc(F)ccc4F)c3n2","F","=","EC50",1428000.000000000000000000000000000000,"M","Agonist","Agonist activity against human 5HT2A receptor by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL478","m-Chlorophenylpiperazine","Clc1cccc(c1)N2CCNCC2","F","=","EC50",290000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in HEK293E cells by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL590531","(+)-10-methyl-2,3,4,5,5a,6-hexahydro-[1,4]diazepino[1,7-a]quinazolin-7(1H)-one","Cc1ccc2C(=O)NC3CCNCCN3c2c1","F","=","EC50",952000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in HEK293E cells by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
"CHEMBL590483","8-chloro-2,3,4,5,5a,6-hexahydro-[1,4]diazepino[1,7-a]quinazolin-7(1H)-one","Clc1cccc2N3CCNCCC3NC(=O)c12","F","=","EC50",130000.000000000000000000000000000000,"M","Agonist","Agonist activity at human recombinant 5HT2A receptor expressed in HEK293E cells by FLIPR assay","Serotonin 2a (5-HT2a) receptor","SINGLE PROTEIN","Homo sapiens","Bioorg. Med. Chem. Lett., 1991, 1, 6, 313"
